"SYMBOL 
","COMPANY 
","REGULATION 
","NAME OF THE ACQUIRER/DISPOSER 
","CATEGORY OF PERSON 
","TYPE OF SECURITY (PRIOR) 
","NO. OF SECURITY (PRIOR) 
","% SHAREHOLDING (PRIOR) 
","TYPE OF SECURITY (ACQUIRED/DISPLOSED) 
","NO. OF SECURITIES (ACQUIRED/DISPLOSED) 
","VALUE OF SECURITY (ACQUIRED/DISPLOSED) 
","ACQUISITION/DISPOSAL TRANSACTION TYPE 
","TYPE OF SECURITY (POST) 
","NO. OF SECURITY (POST) 
","% POST 
","DATE OF ALLOTMENT/ACQUISITION FROM 
","DATE OF ALLOTMENT/ACQUISITION TO 
","DATE OF INITMATION TO COMPANY 
","MODE OF ACQUISITION 
","DERIVATIVE TYPE SECURITY 
","DERIVATIVE CONTRACT SPECIFICATION 
","NOTIONAL VALUE(BUY) 
","NUMBER OF UNITS/CONTRACT LOT SIZE (BUY) 
","NOTIONAL VALUE(SELL) 
","NUMBER OF UNITS/CONTRACT LOT SIZE  (SELL) 
","EXCHANGE 
","REMARK 
","BROADCASTE DATE AND TIME 
","XBRL 
"
"BAJEL","Bajel Projects Limited","7(2)","Kumud Neelima Family Trust","Promoter Group","Equity Shares","125800","0.11",,"125800","25638040","Sell","Equity Shares","Nil","0","29-Sep-2025","29-Sep-2025","01-Oct-2025","Off Market","-","-","0","0","0","0","NA","-","06-Oct-2025 18:47","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188934_1541564_06102025064748_WEB.xml"
"BAJEL","Bajel Projects Limited","7(2)","Neelima Bajaj Family Trust","Promoter Group","Equity Shares","21644","0.02",,"21644","4411047","Sell","Equity Shares","Nil","0","29-Sep-2025","29-Sep-2025","01-Oct-2025","Off Market","-","-","0","0","0","0","NA","-","06-Oct-2025 18:47","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188934_1541564_06102025064748_WEB.xml"
"BAJEL","Bajel Projects Limited","7(2)","Kumud Nimisha Family Trust","Promoter Group","Equity Shares","125800","0.11",,"125800","25638040","Sell","Equity Shares","Nil","0","29-Sep-2025","29-Sep-2025","01-Oct-2025","Off Market","-","-","0","0","0","0","NA","-","06-Oct-2025 18:47","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188934_1541564_06102025064748_WEB.xml"
"BAJEL","Bajel Projects Limited","7(2)","Kumud Neelima Family Trust","Promoter Group","Equity Shares","Nil","0",,"125800","25638040","Buy","Equity Shares","125800","0.11","29-Sep-2025","29-Sep-2025","01-Oct-2025","Off Market","-","-","0","0","0","0","NA","-","06-Oct-2025 18:44","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188933_1541562_06102025064421_WEB.xml"
"BAJEL","Bajel Projects Limited","7(2)","Neelima Bajaj Family Trust","Promoter Group","Equity Shares","Nil","0",,"21644","4411047","Buy","Equity Shares","21644","0.02","29-Sep-2025","29-Sep-2025","01-Oct-2025","Off Market","-","-","0","0","0","0","NA","-","06-Oct-2025 18:44","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188933_1541562_06102025064421_WEB.xml"
"BAJEL","Bajel Projects Limited","7(2)","Nimisha  Bajaj Family Trust","Promoter Group","Equity Shares","Nil","0",,"206575","42099985","Buy","Equity Shares","206575","0.18","29-Sep-2025","29-Sep-2025","01-Oct-2025","Off Market","-","-","0","0","0","0","NA","-","06-Oct-2025 18:44","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188933_1541562_06102025064421_WEB.xml"
"BAJEL","Bajel Projects Limited","7(2)","Kumud Nimisha Family Trust","Promoter Group","Equity Shares","Nil","0",,"125800","25638040","Buy","Equity Shares","125800","0.11","29-Sep-2025","29-Sep-2025","01-Oct-2025","Off Market","-","-","0","0","0","0","NA","-","06-Oct-2025 18:44","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188933_1541562_06102025064421_WEB.xml"
"MAPMYINDIA","C.E. Info Systems Limited","7(2)","Nirdesh Singh","-","Equity Shares","5995","0.01",,"2995","546825","Sell","Equity Shares","3000","0.01","01-Aug-2025","30-Sep-2025","03-Oct-2025","Market Sale","-","-","0","0","0","0","NSE","-","06-Oct-2025 18:23","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188931_1541528_06102025062302_WEB.xml"
"TAKE","Take Solutions Limited","7(2)","Esyspro Infotech Limited","Promoter Group","Equity Shares","14789764","10",,"7248766","5","Sell","Equity Shares","7540998","5.1","30-Sep-2025","30-Sep-2025","03-Oct-2025","Off Market","-","-","0","0","0","0","NA","-","06-Oct-2025 18:13","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188929_1541517_06102025061358_WEB.xml"
"TAKE","Take Solutions Limited","7(2)","Esyspro Infotech Limited","Promoter Group","Equity Shares","22038530","14.9",,"7248766","5","Sell","Equity Shares","14789764","10","30-Sep-2025","30-Sep-2025","03-Oct-2025","Off Market","-","-","0","0","0","0","NA","-","06-Oct-2025 18:13","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188929_1541517_06102025061358_WEB.xml"
"COSMOFIRST","COSMO FIRST LIMITED","7(2)","COSMO FILMS ESOP TRUST 2015","Other","Equity Shares","356113","1.36",,"4541","719612","Sell","Equity Shares","351572","1.34","01-Oct-2025","01-Oct-2025","03-Oct-2025","ESOP","-","-","0","0","0","0","NA","-","06-Oct-2025 17:29","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188925_1541474_06102025052933_WEB.xml"
"DIAMONDYD","Prataap Snacks Limited","7(2)","Swati Bapna","Promoters","Equity Shares","11281","0.05",,"11000","11068532","Sell","Equity Shares","281","0","30-Sep-2025","30-Sep-2025","03-Oct-2025","Market Sale","-","-","0","0","0","0","NSE","-","06-Oct-2025 16:53","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188920_1541439_06102025045308_WEB.xml"
"KPITTECH","KPIT Technologies Limited","7(2)","KPIT TECHNOLOGIES LIMITED EMPLOYEES WELFARE TRUST","Other","Equity Shares","2085804","0.76",,"2690","26900","Sell","Equity Shares","2083114","0.76","30-Sep-2025","30-Sep-2025","01-Oct-2025","ESOP","-","-","0","0","0","0","NA","-","06-Oct-2025 16:21","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188917_1541401_06102025042136_WEB.xml"
"TTL","T T Limited","7(2)","HARDIN JAIN","Promoter Group","Equity Shares","8684890","3.36",,"8463","88270","Buy","Equity Shares","8693353","3.37","29-Sep-2025","30-Sep-2025","02-Oct-2025","Market Purchase","-","-","0","0","0","0","NSE","-","06-Oct-2025 16:10","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188915_1541381_06102025041007_WEB.xml"
"ZOTA","Zota Health Care LImited","7(2)","VINODCHANDRA DHIRAJLAL MEHTA","Promoter Group","Equity Shares","4399","0.01",,"2000","2923049","Sell","Equity Shares","2399","0.01","11-Sep-2025","23-Sep-2025","04-Oct-2025","Market Sale","-","-","0","0","0","0","NSE","-","06-Oct-2025 15:54","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188910_1541362_06102025035413_WEB.xml"
"NAUKRI","Info Edge (India) Limited","7(2)","Puneet Verma","Employees/Designated Employees","Equity Shares","310","0",,"2","2763","Sell","Equity Shares","308","0","22-Sep-2025","22-Sep-2025","03-Oct-2025","Market Sale","-","-","0","0","0","0","NSE","-","06-Oct-2025 14:06","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188906_1541300_06102025020645_WEB.xml"
"VPRPL","Vishnu Prakash R Punglia Limited","7(2)","Manohar Lal Punglia","Promoters","Equity Shares","8220000","6.59",,"794011","82728006","Pledge","Equity Shares","8220000","6.59","22-Sep-2025","22-Sep-2025","03-Oct-2025","Pledge Creation","-","-","0","0","0","0","NA","-","06-Oct-2025 12:45","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188904_1541268_06102025124551_WEB.xml"
"VPRPL","Vishnu Prakash R Punglia Limited","7(2)","Manohar Lal Punglia","Promoters","Equity Shares","8220000","6.59",,"1100000","114609000","Pledge","Equity Shares","8220000","6.59","22-Sep-2025","22-Sep-2025","03-Oct-2025","Pledge Creation","-","-","0","0","0","0","NA","-","06-Oct-2025 12:45","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188904_1541268_06102025124551_WEB.xml"
"VPRPL","Vishnu Prakash R Punglia Limited","7(2)","Manohar Lal Punglia","Promoters","Equity Shares","8220000","6.59",,"80000","8022400","Pledge","Equity Shares","8220000","6.59","24-Sep-2025","24-Sep-2025","03-Oct-2025","Pledge Creation","-","-","0","0","0","0","NA","-","06-Oct-2025 12:45","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188904_1541268_06102025124551_WEB.xml"
"VPRPL","Vishnu Prakash R Punglia Limited","7(2)","Manohar Lal Punglia","Promoters","Equity Shares","8220000","6.59",,"150000","145650000","Pledge","Equity Shares","8220000","6.59","25-Sep-2025","25-Sep-2025","03-Oct-2025","Pledge Creation","-","-","0","0","0","0","NA","-","06-Oct-2025 12:45","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188904_1541268_06102025124551_WEB.xml"
"VPRPL","Vishnu Prakash R Punglia Limited","7(2)","Manohar Lal Punglia","Promoters","Equity Shares","8220000","6.59",,"98211","9148354","Pledge","Equity Shares","8220000","6.59","26-Sep-2025","26-Sep-2025","03-Oct-2025","Pledge Creation","-","-","0","0","0","0","NA","-","06-Oct-2025 12:45","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188904_1541268_06102025124551_WEB.xml"
"JSWENERGY","JSW Energy Limited","7(2)","JSW Energy Employees Welfare Trust","Other","Equity Shares","1188312","0.07",,"1087","572483","Sell","Equity Shares","1187225","0.07","30-Sep-2025","30-Sep-2025","03-Oct-2025","Market Sale","-","-","0","0","0","0","NSE","-","06-Oct-2025 12:32","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188902_1541264_06102025123243_WEB.xml"
"JSWENERGY","JSW Energy Limited","7(2)","JSW Energy Employees Welfare Trust","Other","Equity Shares","1187225","0.07",,"1938","19380","Sell","Equity Shares","1185287","0.07","30-Sep-2025","30-Sep-2025","03-Oct-2025","ESOP","-","-","0","0","0","0","NA","-","06-Oct-2025 12:32","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188902_1541264_06102025123243_WEB.xml"
"ECLERX","eClerx Services Limited","7(2)","Eclerx Employee Welfare Trust","Other","Equity Shares","724798","1.52",,"2500","3583250","Sell","Equity Shares","722298","1.51","01-Oct-2025","01-Oct-2025","01-Oct-2025","Off Market","-","-","0","0","0","0","NA","-","06-Oct-2025 12:17","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188900_1541253_06102025121752_WEB.xml"
"ECLERX","eClerx Services Limited","7(2)","Eclerx Employee Welfare Trust","Other","Equity Shares","732913","1.53",,"8115","11631229","Sell","Equity Shares","724798","1.52","01-Oct-2025","01-Oct-2025","01-Oct-2025","Off Market","-","-","0","0","0","0","NA","-","06-Oct-2025 12:17","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188900_1541253_06102025121752_WEB.xml"
"ECLERX","eClerx Services Limited","7(2)","Eclerx Employee Welfare Trust","Other","Equity Shares","725313","1.52",,"7600","31292089","Buy","Equity Shares","732913","1.53","30-Sep-2025","30-Sep-2025","01-Oct-2025","Market Purchase","-","-","0","0","0","0","NSE","-","06-Oct-2025 12:17","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188900_1541253_06102025121752_WEB.xml"
"ECLERX","eClerx Services Limited","7(2)","Eclerx Employee Welfare Trust","Other","Equity Shares","722298","1.51",,"4087","1125355","Sell","Equity Shares","718211","1.5","01-Oct-2025","01-Oct-2025","01-Oct-2025","Off Market","-","-","0","0","0","0","NA","-","06-Oct-2025 12:17","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188900_1541253_06102025121752_WEB.xml"
"ECLERX","eClerx Services Limited","7(2)","Eclerx Employee Welfare Trust","Other","Equity Shares","717647","1.5",,"7666","31342876","Buy","Equity Shares","725313","1.52","29-Sep-2025","29-Sep-2025","01-Oct-2025","Market Purchase","-","-","0","0","0","0","NSE","-","06-Oct-2025 12:17","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188900_1541253_06102025121752_WEB.xml"
"CEATLTD","CEAT Limited","7(2)","CEAT Employees Welfare Trust","Other","Equity Shares","60000","0.01",,"10000","34326449","Buy","Equity Shares","70000","0.01","30-Sep-2025","30-Sep-2025","03-Oct-2025","Market Purchase","-","-","0","0","0","0","NSE","-","06-Oct-2025 12:09","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188898_1541243_06102025120934_WEB.xml"
"ANUP","The Anup Engineering Limited","7(2)","PRAVIN N. BHAGWATI","Immediate relative","Equity Shares","69970","0.35",,"3031","6983625","Buy","Equity Shares","73001","0.36","29-Sep-2025","29-Sep-2025","01-Oct-2025","Market Purchase","-","-","0","0","0","0","NSE","-","04-Oct-2025 18:13","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188896_1541136_04102025061346_WEB.xml"
"ANUP","The Anup Engineering Limited","7(2)","PRAVIN N. BHAGWATI","Immediate relative","Equity Shares","73001","0.36",,"1","2305","Sell","Equity Shares","73000","0.36","29-Sep-2025","29-Sep-2025","01-Oct-2025","Market Sale","-","-","0","0","0","0","BSE","-","04-Oct-2025 18:13","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188896_1541136_04102025061346_WEB.xml"
"ANUP","The Anup Engineering Limited","7(2)","REENA P. BHAGWATI","Director","Equity Shares","76000","0.38",,"350","804894","Buy","Equity Shares","76350","0.39","29-Sep-2025","29-Sep-2025","01-Oct-2025","Market Purchase","-","-","0","0","0","0","BSE","-","04-Oct-2025 18:13","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188896_1541136_04102025061346_WEB.xml"
"ANUP","The Anup Engineering Limited","7(2)","REENA P. BHAGWATI","Director","Equity Shares","76350","0.39",,"880","2025717","Buy","Equity Shares","77230","0.39","29-Sep-2025","29-Sep-2025","01-Oct-2025","Market Purchase","-","-","0","0","0","0","NSE","-","04-Oct-2025 18:13","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188896_1541136_04102025061346_WEB.xml"
"ANUP","The Anup Engineering Limited","7(2)","BHAGWATI SPHEROCAST PVT LTD","Immediate relative","Equity Shares","63000","0.31",,"1438","33128662","Buy","Equity Shares","64438","0.32","29-Sep-2025","29-Sep-2025","01-Oct-2025","Market Purchase","-","-","0","0","0","0","NSE","-","04-Oct-2025 18:13","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188896_1541136_04102025061346_WEB.xml"
"ANUP","The Anup Engineering Limited","7(2)","BHAGWATI SPHEROCAST PVT LTD","Immediate relative","Equity Shares","64438","0.32",,"562","1295194","Buy","Equity Shares","65000","0.32","29-Sep-2025","29-Sep-2025","01-Oct-2025","Market Purchase","-","-","0","0","0","0","BSE","-","04-Oct-2025 18:13","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188896_1541136_04102025061346_WEB.xml"
"ANUP","The Anup Engineering Limited","7(2)","BHAGWATI FILTERS PVT LTD","Immediate relative","Equity Shares","5500","0.02",,"459","1057027","Buy","Equity Shares","5959","0.03","29-Sep-2025","29-Sep-2025","01-Oct-2025","Market Purchase","-","-","0","0","0","0","BSE","-","04-Oct-2025 18:13","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188896_1541136_04102025061346_WEB.xml"
"GANECOS","Ganesha Ecosphere Limited","7(2)","Ganesha Employees Welfare Trust","Other","Equity Shares","39261","0.15",,"2000","2388264","Buy","Equity Shares","41261","0.16","30-Sep-2025","30-Sep-2025","01-Oct-2025","Market Purchase","-","-","0","0","0","0","NSE","-","04-Oct-2025 18:04","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188894_1541131_04102025060445_WEB.xml"
"MAPMYINDIA","C.E. Info Systems Limited","7(2)","Aashish","-","Equity Shares","2700","0",,"950","1693180","Sell","Equity Shares","1750","0","14-Aug-2025","30-Sep-2025","02-Oct-2025","Market Sale","-","-","0","0","0","0","NSE","-","04-Oct-2025 16:58","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188891_1541111_04102025045848_WEB.xml"
"MAPMYINDIA","C.E. Info Systems Limited","7(2)","Nikhil Kumar","-","Equity Shares","30632","0.05",,"2300","3779247","Sell","Equity Shares","28332","0.05","05-Sep-2025","30-Sep-2025","02-Oct-2025","Market Sale","-","-","0","0","0","0","NSE","-","04-Oct-2025 16:58","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188891_1541111_04102025045848_WEB.xml"
"MAPMYINDIA","C.E. Info Systems Limited","7(2)","Ravindra Pratap Singh","-","Equity Shares","31552","0.05",,"1502","2548841","Sell","Equity Shares","30050","0.05","21-Aug-2025","30-Sep-2025","03-Oct-2025","Market Sale","-","-","0","0","0","0","NSE","-","04-Oct-2025 16:58","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188891_1541111_04102025045848_WEB.xml"
"MAPMYINDIA","C.E. Info Systems Limited","7(2)","JAYA KUMAR R","-","Equity Shares","21765","0.04",,"2765","4548425","Sell","Equity Shares","19000","0.03","29-Aug-2025","30-Sep-2025","02-Oct-2025","Market Sale","-","-","0","0","0","0","NSE","-","04-Oct-2025 16:58","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188891_1541111_04102025045848_WEB.xml"
"MAGSON","Magson Retail And Distribution Limited","7(2)","United Friends Ventures LLP","Promoter Group","Equity Shares","925000","9.46",,"393208","36666646","Buy","Equity Shares","1318208","13.49","04-Oct-2025","04-Oct-2025","04-Oct-2025","Preferential Offer","-","-","0","0","0","0","NA","-","04-Oct-2025 16:39","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188888_1541100_04102025043951_WEB.xml"
"KITEX","Kitex Garments Limited","7(2)","Saji Kurian","Employees/Designated Employees","Equity Shares","13500","0.01",,"5000","937180","Sell","Equity Shares","8500","0","30-Sep-2025","30-Sep-2025","03-Oct-2025","Market Sale","-","-","0","0","0","0","NSE","-","04-Oct-2025 15:35","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188886_1541081_04102025033558_WEB.xml"
"KITEX","Kitex Garments Limited","7(2)","Saji Kurian","Employees/Designated Employees","Equity Shares","25980","0.01",,"1480","274235","Sell","Equity Shares","24500","0.01","19-Aug-2025","19-Aug-2025","03-Oct-2025","Market Sale","-","-","0","0","0","0","NSE","-","04-Oct-2025 15:35","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188886_1541081_04102025033558_WEB.xml"
"KITEX","Kitex Garments Limited","7(2)","Saji Kurian","Employees/Designated Employees","Equity Shares","23500","0.01",,"10000","1856913","Sell","Equity Shares","13500","0.01","29-Sep-2025","29-Sep-2025","03-Oct-2025","Market Sale","-","-","0","0","0","0","NSE","-","04-Oct-2025 15:35","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188886_1541081_04102025033558_WEB.xml"
"KITEX","Kitex Garments Limited","7(2)","Saji Kurian","Employees/Designated Employees","Equity Shares","24500","0.01",,"1000","197805","Sell","Equity Shares","23500","0.01","26-Sep-2025","26-Sep-2025","03-Oct-2025","Market Sale","-","-","0","0","0","0","NSE","-","04-Oct-2025 15:35","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188886_1541081_04102025033558_WEB.xml"
"KITEX","Kitex Garments Limited","7(2)","Saji Kurian","Employees/Designated Employees","Equity Shares","27480","0.01",,"1500","252740","Sell","Equity Shares","25980","0.01","12-Aug-2025","12-Aug-2025","03-Oct-2025","Market Sale","-","-","0","0","0","0","NSE","-","04-Oct-2025 15:35","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188886_1541081_04102025033558_WEB.xml"
"HIGREEN","Hi-Green Carbon Limited","7(2)","KRUPA CHETANKUMAR DETHARIYA","Promoters","Equity Shares","1104800","4.42",,"1600","-","Buy","Equity Shares","1106400","4.43","25-Sep-2025","25-Sep-2025","01-Oct-2025","Market Purchase","-","-","0","0","0","0","NSE","-","04-Oct-2025 12:53","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188883_1541045_04102025125336_WEB.xml"
"HIGREEN","Hi-Green Carbon Limited","7(2)","CHETAN BECHARBHAI DETHARIYA","Promoter Group","Equity Shares","Nil","0",,"4000","-","Buy","Equity Shares","4000","0.02","26-Sep-2025","26-Sep-2025","01-Oct-2025","Market Purchase","-","-","0","0","0","0","NSE","-","04-Oct-2025 12:53","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188883_1541045_04102025125336_WEB.xml"
"VINEETLAB","Vineet Laboratories Limited","7(2)","Satyanarayana Raju Bhupathiraju","Promoters","Equity Shares","177145","1.92",,"25000","989500","Sell","Equity Shares","152145","1.65","30-Sep-2025","30-Sep-2025","01-Oct-2025","Market Sale","-","-","0","0","0","0","NSE","-","04-Oct-2025 12:21","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188881_1541036_04102025122100_WEB.xml"
"VINEETLAB","Vineet Laboratories Limited","7(2)","Alluri Prabhakar Raju","Promoters","Equity Shares","141409","1.53",,"40933","1550178","Sell","Equity Shares","100476","1.09","29-Sep-2025","30-Sep-2025","01-Oct-2025","Market Sale","-","-","0","0","0","0","NSE","-","04-Oct-2025 12:21","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188881_1541036_04102025122100_WEB.xml"
"VINEETLAB","Vineet Laboratories Limited","7(2)","Gaddam Venkata Ramana","Promoters","Equity Shares","650207","7.05",,"117537","4581405","Sell","Equity Shares","532670","5.78","29-Sep-2025","30-Sep-2025","01-Oct-2025","Market Sale","-","-","0","0","0","0","NSE","-","04-Oct-2025 12:21","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188881_1541036_04102025122100_WEB.xml"
"VINEETLAB","Vineet Laboratories Limited","7(2)","Alluri Srinivasa Raju","Promoters","Equity Shares","108508","1.18",,"9122","348187","Sell","Equity Shares","99386","1.08","30-Sep-2025","30-Sep-2025","01-Oct-2025","Market Sale","-","-","0","0","0","0","NSE","-","04-Oct-2025 12:21","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188881_1541036_04102025122100_WEB.xml"
"VINEETLAB","Vineet Laboratories Limited","7(2)","Penmetsa Venkata Krishnam Raju","Promoters","Equity Shares","63988","0.69",,"16000","617534","Sell","Equity Shares","47988","0.52","30-Sep-2025","30-Sep-2025","01-Oct-2025","Market Sale","-","-","0","0","0","0","NSE","-","04-Oct-2025 12:21","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188881_1541036_04102025122100_WEB.xml"
