Date,Open,High,Low,Close,Volume,Stock
2020-01-01,21.93745278860853,22.05684189006746,21.66883243388193,21.71360206604004,386291,MOTHERSON.BO
2020-01-02,21.93744994792429,22.47469571136542,21.750908984161423,22.35530662536621,384706,MOTHERSON.BO
2020-01-03,22.38515820371201,22.38515820371201,21.9225318109011,22.131460189819336,295819,MOTHERSON.BO
2020-01-06,21.93745295964334,22.034457245779507,20.92266095999862,21.04204750061035,838809,MOTHERSON.BO
2020-01-07,21.549442034287427,21.90014429647428,21.347977420823177,21.6091365814209,718848,MOTHERSON.BO
2020-01-08,21.04204800471276,22.049380130924185,21.02712564744555,21.922531127929688,587527,MOTHERSON.BO
2020-01-09,22.01207602112112,22.53439446307716,21.75091551925389,22.362775802612305,616659,MOTHERSON.BO
2020-01-10,22.385157852569616,22.489622040390067,21.892684190241503,22.17622947692871,494540,MOTHERSON.BO
2020-01-13,22.26577185457485,22.340388767455345,21.6464491720664,21.758373260498047,421047,MOTHERSON.BO
2020-01-14,21.75837237822672,21.818066930821853,20.989815901121155,21.22113037109375,1063957,MOTHERSON.BO
2020-01-15,21.265900258884475,21.273361437603548,20.57196068333776,20.75850296020508,1234911,MOTHERSON.BO
2020-01-16,21.027125060444444,21.51959870140716,20.825657872292968,21.377824783325195,1362032,MOTHERSON.BO
2020-01-17,21.482288626279928,21.482288626279928,20.803272726551693,20.87788963317871,459938,MOTHERSON.BO
2020-01-20,20.900272587740407,21.10173975475872,20.460031084601606,20.542110443115234,591116,MOTHERSON.BO
2020-01-21,20.29587440662276,20.81073282897638,19.989944336734705,20.6614990234375,1149300,MOTHERSON.BO
2020-01-22,20.6689629310426,20.78835075977421,20.385417638360668,20.691349029541016,301611,MOTHERSON.BO
2020-01-23,20.691348480470744,21.109203948609487,20.60180665063132,21.00473976135254,548892,MOTHERSON.BO
2020-01-24,20.98235376987192,22.0344567622598,20.937582857458207,21.616600036621094,3853190,MOTHERSON.BO
2020-01-27,21.45990496570224,21.512137059330712,20.92266167199997,21.00473976135254,785735,MOTHERSON.BO
2020-01-28,20.982355148886665,21.14651261008116,20.66896258406067,20.73611831665039,747551,MOTHERSON.BO
2020-01-29,20.892814776914964,21.27336179668106,20.892814776914964,21.11666679382324,354500,MOTHERSON.BO
2020-01-30,21.11666429503625,21.19128119821305,20.48987923421773,20.728654861450195,357236,MOTHERSON.BO
2020-01-31,20.89281306322628,20.9823536064674,19.56462727107548,19.95263671875,2101220,MOTHERSON.BO
2020-02-03,19.370623846893267,19.43031711942943,18.579681261121603,18.75876235961914,670214,MOTHERSON.BO
2020-02-04,18.8408428764625,20.18395247780152,18.80353441874632,20.004871368408203,2586782,MOTHERSON.BO
2020-02-05,20.258570614360924,20.41526691474755,19.54970731324704,20.198877334594727,980710,MOTHERSON.BO
2020-02-06,20.325720321456448,20.743575717568007,20.17648524500396,20.40033721923828,4346858,MOTHERSON.BO
2020-02-07,20.557036962208187,20.557036962208187,19.7064011089858,19.743709564208984,2527130,MOTHERSON.BO
2020-02-10,19.69893700703634,20.280951165593727,18.11705325772654,18.64683532714844,4192912,MOTHERSON.BO
2020-02-11,18.706528965170893,18.95276577870668,18.519986700909826,18.654296875,1382660,MOTHERSON.BO
