ds,y
2020-01-01,513.2377319335938
2020-01-02,519.028076171875
2020-01-03,516.083740234375
2020-01-06,505.48431396484375
2020-01-07,508.2323913574219
2020-01-08,502.0003356933594
2020-01-09,512.3543701171875
2020-01-10,530.60888671875
2020-01-13,531.6884155273438
2020-01-14,529.480224609375
2020-01-15,544.3489379882812
2020-01-16,538.5584716796875
2020-01-17,533.7005004882812
2020-01-20,533.307861328125
2020-01-21,539.5399169921875
2020-01-22,538.0186767578125
2020-01-23,543.41650390625
2020-01-24,554.5557250976562
2020-01-27,555.4879760742188
2020-01-28,542.6806030273438
2020-01-29,543.2203369140625
2020-01-30,544.3489379882812
2020-01-31,535.41796875
2020-02-03,514.9551391601562
2020-02-04,530.265380859375
2020-02-05,527.762939453125
2020-02-06,527.9100952148438
2020-02-07,523.7880249023438
2020-02-10,515.2006225585938
2020-02-11,509.8517456054688
2020-02-12,511.0294799804688
2020-02-13,507.6925964355469
2020-02-14,497.6819763183594
2020-02-17,493.06927490234375
2020-02-18,501.0679321289063
2020-02-19,500.7244567871094
2020-02-20,508.3305358886719
2020-02-24,508.5269165039063
2020-02-25,510.3915710449219
2020-02-26,503.8650817871094
2020-02-27,505.140869140625
2020-02-28,500.4791259765625
2020-03-02,506.416748046875
2020-03-03,507.0055236816406
2020-03-04,496.5043029785156
2020-03-05,486.8863220214844
2020-03-06,490.4194641113281
2020-03-09,483.7947998046875
2020-03-11,476.0906066894531
2020-03-12,444.4886169433594
2020-03-13,447.9236145019531
2020-03-16,435.6067810058594
2020-03-17,429.7181701660156
2020-03-18,426.9210510253906
2020-03-19,436.9316711425781
2020-03-20,422.8481140136719
2020-03-23,399.5392456054688
2020-03-24,402.2872314453125
2020-03-25,393.2090148925781
2020-03-26,378.7329406738281
2020-03-27,357.97576904296875
2020-03-30,334.1761474609375
2020-03-31,325.5886535644531
2020-04-01,319.6019287109375
2020-04-03,314.2531433105469
2020-04-07,314.6947937011719
2020-04-08,300.7094421386719
2020-04-09,304.5861511230469
2020-04-13,291.7293701171875
2020-04-15,304.2426452636719
2020-04-16,335.0104064941406
2020-04-17,378.1931457519531
2020-04-20,384.42529296875
2020-04-21,358.3193359375
2020-04-22,348.7994689941406
2020-04-23,348.2105407714844
2020-04-24,307.92303466796875
2020-04-27,326.962646484375
2020-04-28,321.7120056152344
2020-04-29,323.2332458496094
2020-04-30,338.10186767578125
2020-05-04,312.1921691894531
2020-05-05,309.44415283203125
2020-05-06,331.2809143066406
2020-05-07,332.9493713378906
2020-05-08,318.2279357910156
2020-05-11,322.3499755859375
2020-05-12,328.238525390625
2020-05-13,336.72784423828125
2020-05-14,330.6429748535156
2020-05-15,313.762451171875
2020-05-18,294.3793029785156
2020-05-19,295.45880126953125
2020-05-20,295.6060791015625
2020-05-21,295.3116149902344
2020-05-22,287.46014404296875
2020-05-26,296.39117431640625
2020-05-27,297.8633728027344
2020-05-28,301.445556640625
2020-05-29,313.860595703125
2020-06-01,328.6801452636719
2020-06-02,344.97186279296875
2020-06-03,368.8696594238281
2020-06-04,368.4770812988281
2020-06-05,365.1892395019531
2020-06-08,360.1839904785156
2020-06-09,365.3364868164063
2020-06-10,380.4013977050781
2020-06-11,368.4279479980469
2020-06-12,364.3059692382813
2020-06-15,356.9452514648437
2020-06-16,347.6707763671875
2020-06-17,351.64556884765625
2020-06-18,355.3259582519531
2020-06-19,367.8390808105469
2020-06-22,375.8868713378906
2020-06-23,380.2542114257813
2020-06-24,376.0830993652344
2020-06-25,379.1255493164063
2020-06-26,368.37890625
2020-06-29,355.0805358886719
2020-06-30,359.0062866210937
2020-07-01,354.3445129394531
2020-07-02,353.3139953613281
2020-07-03,352.87237548828125
2020-07-06,365.0420837402344
2020-07-07,366.0234680175781
2020-07-08,360.2821044921875
2020-07-09,360.5765380859375
2020-07-10,359.4969787597656
2020-07-13,360.2821044921875
2020-07-14,361.7052001953125
2020-07-15,364.9439392089844
2020-07-16,357.97576904296875
2020-07-17,358.0248413085937
2020-07-20,360.6256103515625
2020-07-21,369.6547546386719
2020-07-22,373.3350830078125
2020-07-23,399.2448120117188
2020-07-24,382.0698547363281
2020-07-27,374.3165283203125
2020-07-28,365.1892395019531
2020-07-29,358.3193359375
2020-07-30,351.2038879394531
2020-07-31,343.40155029296875
2020-08-03,330.8392944335937
2020-08-04,346.05145263671875
2020-08-05,348.1614685058594
2020-08-06,359.2025451660156
2020-08-07,361.8033142089844
2020-08-10,364.4532470703125
2020-08-11,355.522216796875
2020-08-12,357.681396484375
2020-08-13,364.5513610839844
2020-08-14,357.681396484375
2020-08-17,343.8432006835937
2020-08-18,357.73046875
2020-08-19,372.6972351074219
2020-08-20,369.900146484375
2020-08-21,380.0088195800781
2020-08-24,372.9425048828125
2020-08-25,365.8762512207031
2020-08-26,360.2821044921875
2020-08-27,386.0445861816406
2020-08-28,405.7712707519531
2020-08-31,382.6587219238281
2020-09-01,376.67193603515625
2020-09-02,378.6839294433594
2020-09-03,369.7528991699219
2020-09-04,364.25689697265625
2020-09-07,372.1574401855469
2020-09-08,373.6295166015625
2020-09-09,369.4093933105469
2020-09-10,370.0473327636719
2020-09-11,371.5194396972656
2020-09-14,393.5034484863281
2020-09-15,400.0790100097656
2020-09-16,408.568359375
2020-09-17,400.4225463867188
2020-09-18,421.3760070800781
2020-09-21,404.7407836914063
2020-09-22,410.33489990234375
2020-09-23,404.2991943359375
2020-09-24,396.889404296875
2020-09-25,395.2699890136719
2020-09-28,397.870849609375
2020-09-29,392.5220336914063
2020-09-30,386.8788146972656
