Date,Open,High,Low,Close,Volume,Stock,MA_7_Close,MA_30_Close,Lag_1_Close
2020-04-03,624.387640019834,624.387640019834,566.682660063612,575.8189086914062,120672,PIDILITIND.BO,607.6502859933036,695.7039326985677,611.7720336914062
2020-04-07,586.9906823429061,617.7603552076552,577.523090692214,613.4999389648438,69594,PIDILITIND.BO,609.4795619419643,691.2266479492188,575.8189086914062
2020-04-08,615.3934094114486,654.3762034428175,610.5885954654644,616.7898559570312,75104,PIDILITIND.BO,611.7923583984375,687.1468180338542,613.4999389648438
2020-04-09,620.1272109463466,647.5358984681925,620.1272109463466,638.5416870117188,72028,PIDILITIND.BO,615.0823451450893,684.1009501139323,616.7898559570312
2020-04-13,639.0623860953444,666.9917792654372,623.9142406471584,651.583251953125,125096,PIDILITIND.BO,621.4594377790179,681.4827596028646,638.5416870117188
2020-04-15,659.0153767264487,705.2882294688271,659.0153767264487,697.6194458007812,120982,PIDILITIND.BO,629.375017438616,680.7181823730468,651.583251953125
2020-04-16,709.595913215848,709.595913215848,694.8974557418052,698.3531494140625,51192,PIDILITIND.BO,641.7437482561384,679.6683776855468,697.6194458007812
2020-04-17,703.9154208735716,719.7499443822137,691.1104803856764,696.5070190429688,44126,PIDILITIND.BO,658.9849068777902,679.1889139811198,698.3531494140625
2020-04-20,698.7082323332163,709.1225826796464,684.743535277776,693.9507446289062,69380,PIDILITIND.BO,670.4778791155134,678.4060567220052,696.5070190429688
2020-04-21,679.7730432583911,701.9272296208812,673.1457294661784,698.63720703125,56510,PIDILITIND.BO,682.1703578404018,677.5909423828125,693.9507446289062
2020-04-22,704.8622152715368,732.1525604152266,690.2584663577848,727.537109375,92870,PIDILITIND.BO,694.8839896065848,677.0752136230469,698.63720703125
2020-04-23,731.3714491023034,749.3598730931691,724.3891003163752,728.9335327148438,80926,PIDILITIND.BO,705.9340297154018,675.8889099121094,727.537109375
2020-04-24,724.2706578383303,746.0461155249728,710.4243070267152,712.5308227539062,70892,PIDILITIND.BO,708.064226422991,673.7663960774739,728.9335327148438
2020-04-27,724.5075388668073,737.2887891441047,712.4363580493596,729.3596801757812,51956,PIDILITIND.BO,712.4937308175223,672.4457112630208,712.5308227539062
2020-04-28,740.3655238151181,744.602247144712,721.9037236688332,735.8447265625,42828,PIDILITIND.BO,718.1134033203125,670.3433186848958,729.3596801757812
2020-04-29,735.6318787452021,740.5786723187941,714.8031769017086,718.2114868164062,35880,PIDILITIND.BO,721.5792236328125,669.3673685709635,735.8447265625
2020-04-30,725.2174896466746,729.8566324727501,713.1700028970025,722.5902099609375,40122,PIDILITIND.BO,725.0010811941964,669.3949849446615,718.2114868164062
2020-05-04,707.2290424146896,719.5369106227097,672.1989559764788,673.098388671875,523202,PIDILITIND.BO,717.22412109375,668.6154846191406,722.5902099609375
2020-05-05,697.6668343085851,697.6668343085851,654.2105666105233,659.7490844726562,118634,PIDILITIND.BO,707.3406284877232,666.0095296223958,673.098388671875
2020-05-06,659.180985296516,686.400307849155,651.8436026953699,677.098388671875,67882,PIDILITIND.BO,702.2788521902902,664.8868286132813,659.7490844726562
2020-05-07,675.9860571028707,681.6666122045756,637.4293124642874,640.1512451171875,108938,PIDILITIND.BO,689.5347900390625,663.3838500976562,677.098388671875
2020-05-08,653.5478289377864,657.6188817209954,640.0091846654436,647.3228759765625,73590,PIDILITIND.BO,676.8888113839286,661.2631103515625,640.1512451171875
2020-05-11,659.3940398374133,659.3940398374133,643.29913467904,652.1513671875,31516,PIDILITIND.BO,667.4516514369419,662.8599792480469,647.3228759765625
2020-05-12,641.4293303813203,652.7904402921333,632.9084979482105,641.9027099609375,49796,PIDILITIND.BO,655.9248657226562,664.1838643391927,652.1513671875
2020-05-13,671.2522638975069,671.2522638975069,645.3820575434917,655.6307373046875,118608,PIDILITIND.BO,653.4294869559152,666.0150553385416,641.9027099609375
2020-05-14,657.4768608115824,657.4768608115824,635.4410199042765,644.4589233398438,33652,PIDILITIND.BO,651.2451782226562,667.4770100911459,655.6307373046875
2020-05-15,639.1808330963029,655.15739530108,639.1808330963029,649.9028930664062,144170,PIDILITIND.BO,647.360107421875,668.6233805338542,644.4589233398438
2020-05-18,649.0034015155014,650.8969198277275,630.1392368870673,636.7428588867188,109960,PIDILITIND.BO,646.8731951032366,669.616689046224,649.9028930664062
2020-05-19,646.1630804182986,654.4709145664838,630.1155022485945,645.3109741210938,62438,PIDILITIND.BO,646.5857805524554,669.7200419108073,636.7428588867188
2020-05-20,646.1631163800805,651.7726527563715,637.6422840761674,649.0507202148438,28032,PIDILITIND.BO,646.1428309849331,670.9626647949219,645.3109741210938
2020-05-21,647.4649724998932,674.3765922252586,646.1158521457536,672.0333862304688,52702,PIDILITIND.BO,650.4472133091518,674.1698140462239,649.0507202148438
2020-05-22,672.0569888881427,676.4594422423062,658.613054598997,662.1397094726562,55062,PIDILITIND.BO,651.3770664760044,675.7911397298177,672.0333862304688
2020-05-26,665.5243465677437,680.885490443403,663.2757936185293,669.0983276367188,42572,PIDILITIND.BO,654.8969813755581,677.534755452474,662.1397094726562
2020-05-27,669.1219720862549,675.7255934789907,661.6899365080569,664.0331420898438,26858,PIDILITIND.BO,656.9155883789062,678.3844706217448,669.0983276367188
2020-05-28,667.4651898541725,679.1103156519569,664.8379101415737,674.6369018554688,37972,PIDILITIND.BO,662.3290230887277,679.1529256184896,664.0331420898438
2020-05-29,675.5600315253467,702.8503776656798,673.1458070655643,695.157958984375,87424,PIDILITIND.BO,669.4500209263393,679.0708760579427,674.6369018554688
2020-06-01,705.3355558684785,712.1049068007818,694.4715179040699,697.6194458007812,38976,PIDILITIND.BO,676.388410295759,679.0464192708333,695.157958984375
2020-06-02,699.6549842878703,714.6610931099843,697.3591049966825,705.52490234375,36486,PIDILITIND.BO,681.1729125976562,679.3470153808594,697.6194458007812
2020-06-03,715.7499495077949,725.33588633156,706.755737179324,714.9925537109375,55128,PIDILITIND.BO,688.7233189174107,680.048409016927,705.52490234375
2020-06-04,717.1700504615958,723.300292795199,704.5308390231432,709.2882690429688,60704,PIDILITIND.BO,694.4647391183036,680.4034444173177,714.9925537109375
2020-06-05,710.1639466568272,718.3534356269741,703.9626863808551,714.2113647460938,33572,PIDILITIND.BO,701.633056640625,679.9592529296875,709.2882690429688
2020-06-08,722.3771298487768,722.3771298487768,705.359159635315,706.2822265625,70034,PIDILITIND.BO,706.1538173130581,679.2042093912761,714.2113647460938
2020-06-09,710.0693204012217,711.7261488154912,690.8737566588063,694.7318115234375,39808,PIDILITIND.BO,706.0929391043527,678.610909016927,706.2822265625
2020-06-10,711.016011607461,711.016011607461,686.4476039102462,688.7198486328125,43658,PIDILITIND.BO,704.8215680803571,677.2562479654948,694.7318115234375
2020-06-11,688.7672358114253,688.8145622086588,668.1515335771983,671.0155029296875,62186,PIDILITIND.BO,699.8916538783482,675.095273844401,688.7198486328125
2020-06-12,666.5183836322792,683.7967366170649,655.6306543541951,677.193115234375,42364,PIDILITIND.BO,694.4917340959821,673.7279947916667,671.0155029296875
2020-06-15,685.0276016236093,694.9685731368394,673.8795468122727,677.5008544921875,42610,PIDILITIND.BO,689.9506748744419,672.2250162760416,677.193115234375
2020-06-16,686.4003392718706,692.2702571786236,668.8852961318298,677.4061279296875,84930,PIDILITIND.BO,684.6927839006696,672.3686075846355,677.5008544921875
2020-06-17,677.406104759745,697.2880449413727,675.985966175343,678.06884765625,69746,PIDILITIND.BO,680.6623011997768,672.9792663574219,677.4061279296875
2020-06-18,675.5126356681741,683.4417433398222,655.0626616829956,658.4236450195312,220158,PIDILITIND.BO,675.4754202706473,672.3567749023438,678.06884765625
2020-06-19,661.3111283759566,669.8319589491615,658.4708515182217,662.9679565429688,1219524,PIDILITIND.BO,671.7965785435268,673.1173319498698,658.4236450195312
2020-06-22,660.8851494443584,670.5657954920305,656.979768326772,658.6365966796875,99794,PIDILITIND.BO,670.0281633649554,673.4944559733073,662.9679565429688
2020-06-23,661.0745458843014,673.477067060913,660.885182505949,666.68408203125,173374,PIDILITIND.BO,668.526872907366,673.9788798014323,658.6365966796875
2020-06-24,672.175225843922,680.2463697685628,662.7313275407014,664.814208984375,106726,PIDILITIND.BO,666.7144949776786,674.7425964355468,666.68408203125
2020-06-25,663.6781114526416,669.3349738104885,652.7193636044194,654.1868286132812,117512,PIDILITIND.BO,663.3974522181919,674.6944661458333,664.814208984375
2020-06-26,661.7372872547835,666.9917887245231,650.5181572017609,657.09814453125,109470,PIDILITIND.BO,660.4016374860491,675.1157735188802,654.1868286132812
2020-06-29,653.3820602987234,662.6602870186252,653.3820602987234,655.5122680664062,69316,PIDILITIND.BO,659.9857264927456,675.3027526855469,657.09814453125
2020-06-30,660.8378678099988,662.2106800953756,647.086168435103,649.5714111328125,42932,PIDILITIND.BO,658.0719342912946,675.73037109375,655.5122680664062
2020-07-01,653.2638494643796,653.2638494643796,642.8494982410344,648.4827270507812,71648,PIDILITIND.BO,656.6213814871652,675.8360961914062,649.5714111328125
2020-07-02,653.2637495920733,658.8969775406006,646.6364361904145,657.2874755859375,51222,PIDILITIND.BO,655.2790091378348,676.110654703776,648.4827270507812
2020-07-03,665.1929533020746,665.1929533020746,653.8318435426158,657.9029541015625,47368,PIDILITIND.BO,654.2916870117188,675.6396402994792,657.2874755859375
2020-07-06,658.9444458598883,666.9918995808783,656.7432190202624,657.7373046875,115032,PIDILITIND.BO,654.7988978794643,675.4928934733073,657.9029541015625
2020-07-07,663.2047328144389,671.8676014750725,660.3644555861115,662.4236450195312,195276,PIDILITIND.BO,655.5596836635044,675.2704040527344,657.7373046875
2020-07-08,663.2047642446795,669.0036638606662,653.7371730349054,655.8436889648438,109744,PIDILITIND.BO,655.6070295061384,674.9974222819011,662.4236450195312
2020-07-09,656.2223791484909,663.204727276491,649.0979940460251,653.2164306640625,63460,PIDILITIND.BO,656.1277465820312,674.2834065755209,655.8436889648438
2020-07-10,653.2638453233495,657.1692270073478,648.7430470476345,654.6366577148438,25492,PIDILITIND.BO,657.0068795340402,672.9326965332032,653.2164306640625
2020-07-13,658.4709709753074,665.0036320474585,654.6839344779656,660.2698364257812,113628,PIDILITIND.BO,657.4329310825893,671.6877095540365,654.6366577148438
2020-07-14,659.8911041439723,660.2934652113321,652.4353761021733,653.6425170898438,27654,PIDILITIND.BO,656.8242972237723,669.9582967122395,660.2698364257812
2020-07-15,654.2578955648067,659.0390176897166,646.6364960050284,648.3170166015625,46846,PIDILITIND.BO,655.4785417829241,667.7357788085938,653.6425170898438
2020-07-16,651.8200144350271,655.7727803073078,634.3286614009336,654.6366577148438,67740,PIDILITIND.BO,654.3661150251116,665.9140584309896,648.3170166015625
2020-07-17,651.0388931264876,665.0509157090943,651.0388931264876,659.370361328125,109898,PIDILITIND.BO,654.8699253627232,664.086024983724,654.6366577148438
2020-07-20,664.7196468868482,683.4181420905535,660.8379570727236,681.5956420898438,268966,PIDILITIND.BO,658.9240984235491,663.2631388346355,659.370361328125
2020-07-21,684.364711809855,688.3884375114907,662.3052389321216,664.269775390625,67756,PIDILITIND.BO,660.3002580915179,662.2477376302083,681.5956420898438
2020-07-22,665.334917283733,667.4651251298923,649.0270158868151,655.4649658203125,99010,PIDILITIND.BO,659.6138480050223,661.1392415364584,664.269775390625
2020-07-23,655.6307725836937,664.0095687291883,650.3999046773607,653.7135620117188,79870,PIDILITIND.BO,659.6239972795759,660.562510172526,655.4649658203125
2020-07-24,649.5240897634541,657.0035100068103,648.4353514350004,652.2697143554688,120218,PIDILITIND.BO,660.1886683872768,659.7317301432291,653.7135620117188
2020-07-27,652.7904097356798,655.6306870804325,639.5831085254613,642.2103881835938,56366,PIDILITIND.BO,658.4134870256696,658.5553812662761,652.2697143554688
2020-07-28,647.6542590775468,647.6542590775468,635.5120617594382,641.21630859375,170836,PIDILITIND.BO,655.820050920759,657.3490539550781,642.2103881835938
2020-07-29,646.1631644802377,655.0153400295745,641.9027480111372,648.9561157226562,129302,PIDILITIND.BO,651.1572614397321,656.3786295572917,641.21630859375
2020-07-30,652.7904692722261,653.2638488728587,636.1984911558185,638.8967895507812,79078,PIDILITIND.BO,647.5325491768973,655.727734375,648.9561157226562
2020-07-31,639.0623704118951,646.5654244629469,634.541572751413,642.3997192382812,79606,PIDILITIND.BO,645.6660853794643,655.0421264648437,638.8967895507812
2020-08-03,641.4767056240804,647.5833142232171,635.2754442160507,636.7666015625,131318,PIDILITIND.BO,643.2450910295759,654.3131266276042,642.3997192382812
2020-08-04,644.9796543415207,646.6364828113889,632.4587880191823,635.677734375,57816,PIDILITIND.BO,640.8748081752232,653.2795817057291,636.7666015625
2020-08-05,639.0624173429119,639.3937599265566,621.0739937436299,622.6361694335938,182088,PIDILITIND.BO,638.0784912109375,651.8736470540365,635.677734375
2020-08-06,626.7545022393535,631.7723137364181,618.7307422622313,630.4705200195312,154240,PIDILITIND.BO,636.5433785574777,651.0831034342448,622.6361694335938
2020-08-07,629.5948717880522,659.323133961155,625.8788534628133,651.79638671875,248168,PIDILITIND.BO,636.9491315569196,650.9063781738281,630.4705200195312
2020-08-10,659.3940365979082,666.2344059279659,643.2754972119036,662.2343139648438,115824,PIDILITIND.BO,640.2830636160714,651.1304463704427,651.79638671875
2020-08-11,658.9442871093751,667.4651184082031,652.1749369077385,653.2637329101562,105288,PIDILITIND.BO,641.8350655691964,651.2535237630208,662.2343139648438
2020-08-12,649.4768261415182,659.4414900649982,644.7667221273983,645.9974975585938,94382,PIDILITIND.BO,643.1537649972098,651.1706827799479,653.2637329101562
2020-08-13,649.8081126972601,656.624790063139,647.7489231246487,653.3584594726562,167276,PIDILITIND.BO,645.6795828683036,651.0397155761718,645.9974975585938
2020-08-14,657.9502419013935,666.9917796640653,647.6069103884902,649.0033569335938,184820,PIDILITIND.BO,649.4463239397321,650.7430623372396,653.3584594726562
2020-08-17,654.6128748950393,657.5241705767406,642.8494050707083,653.831787109375,83450,PIDILITIND.BO,652.7836478097098,650.6128784179688,649.0033569335938
2020-08-18,659.157358993021,677.9268704966745,654.7549636643062,668.4829711914062,275712,PIDILITIND.BO,655.1674455915179,650.8148559570312,653.831787109375
2020-08-19,674.5658979974384,694.9212198317471,668.0332367131207,685.6666259765625,230294,PIDILITIND.BO,658.5149187360491,651.8089538574219,668.4829711914062
2020-08-20,686.8737150171629,692.3649061438488,680.7197809749691,686.1399536132812,127604,PIDILITIND.BO,663.2115216936384,652.9064046223958,685.6666259765625
2020-08-21,691.1341497947226,699.9389979541675,684.790852205242,689.54833984375,77094,PIDILITIND.BO,669.4330705915179,654.070127360026,686.1399536132812
2020-08-24,691.1815220247279,703.5604097568794,689.5246934735762,695.110595703125,207694,PIDILITIND.BO,675.3976614815848,655.2314860026041,689.54833984375
2020-08-25,696.128288744365,703.5129978317888,689.5956281368823,698.3531494140625,98460,PIDILITIND.BO,682.4476318359375,656.7218404134114,695.110595703125
2020-08-26,700.6017956750045,702.7793302395781,690.187444658214,694.23486328125,135270,PIDILITIND.BO,688.219499860491,658.2524353027344,698.3531494140625
2020-08-27,696.1046074057623,710.5426832479084,692.2702447228345,695.7495727539062,98732,PIDILITIND.BO,692.114728655134,659.6228658040365,694.23486328125
2020-08-28,700.6017407935684,700.625432885534,682.8263154044686,684.5068359375,57784,PIDILITIND.BO,691.9490443638393,660.4607482910156,695.7495727539062
2020-08-31,686.9921103084789,691.1341816023285,660.8378887101716,663.9148559570312,138894,PIDILITIND.BO,688.7740304129464,659.8713887532552,684.5068359375
2020-09-01,672.6723673632941,679.3233734201448,666.3054352762387,674.7552490234375,33840,PIDILITIND.BO,686.6607317243304,660.2209045410157,663.9148559570312
2020-09-02,679.7257382378849,688.7672764959366,666.660473622297,669.3350219726562,83300,PIDILITIND.BO,682.9785069056919,660.6832397460937,674.7552490234375
2020-09-03,673.0983626893163,687.3470749306933,671.9622402645449,685.6902465820312,71412,PIDILITIND.BO,681.1695207868304,661.7491292317708,669.3350219726562
2020-09-04,679.3469593992847,692.7199312685053,672.1989399749783,679.891357421875,110228,PIDILITIND.BO,679.1204485212054,662.6698506673177,685.6902465820312
2020-09-07,680.2464984771385,688.0099356257854,672.9328066286272,682.2583618164062,56088,PIDILITIND.BO,677.193132672991,664.0047831217448,679.891357421875
2020-09-08,684.0335241739297,703.0397267314526,676.9565222456765,684.8619384765625,136908,PIDILITIND.BO,677.2438616071429,665.4596374511718,682.2583618164062
2020-09-09,684.9802783767346,697.3828007313773,682.4003826816065,690.4004516601562,102178,PIDILITIND.BO,681.0275181361607,666.8411153157552,684.8619384765625
2020-09-10,698.2348172639338,704.8621307837271,691.8915199092997,698.4478149414062,512894,PIDILITIND.BO,684.4121704101562,668.8261494954427,690.4004516601562
2020-09-11,693.5010742220668,709.1226001260451,693.5010742220668,704.3651123046875,86432,PIDILITIND.BO,689.4164690290179,670.8916625976562,698.4478149414062
2020-09-14,709.1225813085522,711.4894791099827,696.341333180828,700.2230224609375,27196,PIDILITIND.BO,691.4925798688616,673.0068766276041,704.3651123046875
2020-09-15,701.5722257579583,717.1227333175,701.5722257579583,709.0279541015625,186246,PIDILITIND.BO,695.6549508231027,675.4518839518229,700.2230224609375
