Date,Open,High,Low,Close,Volume,Stock,MA_7_Close,MA_30_Close,Lag_1_Close
2020-02-11,136.53418806164177,137.0244364927428,135.74978757964112,136.2400360107422,22092,INDHOTEL.BO,137.248539515904,138.70433959960937,135.0634307861328
2020-02-12,136.77927763565725,136.77927763565725,135.01438073844284,135.30853271484375,19119,INDHOTEL.BO,136.84933253696985,138.50497080485027,136.2400360107422
2020-02-13,135.30855183110586,137.07344897766328,130.50412372882647,131.4355926513672,50364,INDHOTEL.BO,135.9458770751953,138.0980646769206,135.30853271484375
2020-02-14,131.3375244140625,132.26899324740077,130.40605558072423,131.3375244140625,35192,INDHOTEL.BO,135.07043239048548,137.7074996948242,131.4355926513672
2020-02-17,131.63168395880058,132.36705649488326,128.4450696357756,128.93531799316406,18040,INDHOTEL.BO,133.69073050362724,137.40191090901692,131.3375244140625
2020-02-18,128.44507401854082,129.91581914089053,124.376011017254,128.2489776611328,25333,INDHOTEL.BO,132.36705889020647,137.0783467610677,128.93531799316406
2020-02-19,128.44508177675317,135.01440739447045,128.0038612056367,134.37709045410156,32970,INDHOTEL.BO,132.26901027134485,137.0064442952474,128.2489776611328
2020-02-20,134.7202489462914,138.64223598939964,131.38656594412666,137.26954650878906,1683234,INDHOTEL.BO,132.41608319963728,137.01461435953777,134.37709045410156
2020-02-24,137.36758429836144,140.01492221581262,134.52413508531356,135.21047973632812,13951,INDHOTEL.BO,132.4020756312779,137.0048085530599,137.26954650878906
2020-02-25,137.85786030034964,138.10298450788142,135.74978313885975,136.92637634277344,22272,INDHOTEL.BO,133.1864733014788,137.06037038167318,135.21047973632812
2020-02-26,135.65172329125886,138.2500335399802,135.30854346466148,137.6127166748047,26359,INDHOTEL.BO,134.08292933872767,137.0734441121419,136.92637634277344
2020-02-27,136.68124922501468,138.49517430660532,134.42611853269418,138.1029815673828,20333,INDHOTEL.BO,135.39259556361608,137.17803141276042,137.6127166748047
2020-02-28,134.32806035402427,134.5731845517506,124.86626482566888,132.3180389404297,145355,INDHOTEL.BO,135.97389003208704,136.97212727864584,138.1029815673828
2020-03-02,132.36705894849132,135.30854914734667,128.44507201668418,130.99436950683594,43441,INDHOTEL.BO,135.49064418247767,136.59136810302735,132.3180389404297
2020-03-03,131.38655260267723,133.10242175980173,125.60162828599128,130.2589874267578,374087,INDHOTEL.BO,134.4891357421875,136.2498285929362,130.99436950683594
2020-03-04,130.20996701242004,130.20996701242004,118.93425476669648,121.43451690673828,76986,INDHOTEL.BO,132.5211410522461,135.58635889689128,130.2589874267578
2020-03-05,122.70917125095076,122.70917125095076,112.8061554516342,116.43399047851562,143488,INDHOTEL.BO,129.59365735735213,134.75130284627278,121.43451690673828
2020-03-06,115.69861788352785,120.50305351209876,111.2863824557662,118.8362045288086,259783,INDHOTEL.BO,126.91129847935268,134.01429595947266,116.43399047851562
2020-03-09,117.6596144850172,117.6596144850172,110.01173655125235,113.39445495605467,45852,INDHOTEL.BO,123.38150896344867,133.05667775472006,118.8362045288086
2020-03-11,112.85517981435484,113.29640786126826,109.52148920915108,112.02175903320312,116633,INDHOTEL.BO,120.48204040527344,132.10232798258463,113.39445495605467
2020-03-12,107.95268793287596,115.69861355696128,94.6669617966844,108.29586029052734,380621,INDHOTEL.BO,117.23939623151507,131.13653844197592,112.02175903320312
2020-03-13,94.12768983249168,114.91421834492824,94.12768983249168,113.19834899902344,124198,INDHOTEL.BO,114.80216217041016,130.33416519165038,108.29586029052734
2020-03-16,105.94267877710251,108.09976867451402,98.04967680228027,106.53097534179688,105033,INDHOTEL.BO,112.67308480398995,129.28339970906575,113.19834899902344
2020-03-17,102.95215740874784,106.18779963383278,97.11820481449072,97.5594253540039,88995,INDHOTEL.BO,109.97671835763114,127.89272816975911,106.53097534179688
2020-03-18,99.7655528587677,100.697021858822,85.1561485361555,87.90154266357422,108917,INDHOTEL.BO,105.55748094831195,126.21934687296549,97.5594253540039
2020-03-19,87.75446154702867,87.75446154702867,79.17511474773816,81.67538452148438,77375,INDHOTEL.BO,101.02618517194476,124.34986699422201,87.90154266357422
2020-03-20,83.3422188635493,90.20569571113572,80.89097713226845,88.88202667236328,69833,INDHOTEL.BO,97.7205091203962,122.73041330973307,81.67538452148438
2020-03-23,88.14665966296951,88.14665966296951,71.57626302758693,73.19408416748047,73417,INDHOTEL.BO,92.70596967424665,120.55044174194336,88.88202667236328
2020-03-24,77.45923216263351,79.17510122952729,71.08600419988518,75.44921112060547,54835,INDHOTEL.BO,87.31323569161552,118.48159281412761,73.19408416748047
2020-03-25,75.64532017460691,79.42023088732994,70.7918571320236,73.92945098876953,269291,INDHOTEL.BO,82.65587506975446,116.44379348754883,75.44921112060547
2020-03-26,77.45924258852496,80.8909811842191,70.49771721909327,76.42971801757812,201897,INDHOTEL.BO,79.63734545026507,114.45011622111002,73.92945098876953
2020-03-27,82.16563591364518,82.16563591364518,71.57626734203657,74.37068176269531,85546,INDHOTEL.BO,77.70436532156808,112.41885452270508,76.42971801757812
2020-03-30,74.4687267293336,80.30268700233093,71.87041627191279,73.68433380126953,43383,INDHOTEL.BO,76.56278664725167,110.49381256103516,74.37068176269531
