Date,Open,High,Low,Close,Volume,Stock,MA_7_Close,MA_30_Close,Lag_1_Close
2020-03-11,20401.35295049904,20544.954706704004,19618.499369874247,19830.19921875,751,PAGEIND.BO,20605.40262276786,21809.651302083334,20379.7578125
2020-03-12,19448.726076526145,19448.726076526145,17905.467569635028,18312.880859375,1434,PAGEIND.BO,20311.51534598214,21631.5384765625,19830.19921875
2020-03-13,17920.748103327674,19989.32156138585,16483.50336856793,18830.509765625,2576,PAGEIND.BO,20012.299665178572,21473.820572916666,18312.880859375
2020-03-16,18821.49932032116,18821.49932032116,17461.974566000983,17807.138671875,1194,PAGEIND.BO,19571.874162946428,21302.039518229165,18830.509765625
2020-03-17,17949.704717261764,18580.987428021734,17578.038914144134,17832.654296875,1528,PAGEIND.BO,19131.81222098214,21130.295182291666,17807.138671875
2020-03-18,18282.557079579405,18315.333182641712,16638.989885860596,17713.0078125,1777,PAGEIND.BO,18672.30691964286,20954.413736979168,17832.654296875
2020-03-19,16788.911968579523,18392.20553327734,16444.457050906054,17090.876953125,6793,PAGEIND.BO,18202.466796875,20754.4720703125,17713.0078125
2020-03-20,17265.037203352524,17920.747173589123,16936.804570909942,17068.9921875,1991,PAGEIND.BO,17808.008649553572,20549.2146484375,17090.876953125
2020-03-23,16977.548571897107,17816.428479213784,15555.255177159192,15772.0947265625,4883,PAGEIND.BO,17445.039202008928,20321.074576822917,17068.9921875
2020-03-24,15941.918905937126,16462.56375483532,15267.297115766049,15947.05859375,1445,PAGEIND.BO,17033.117606026786,20107.837141927084,15772.0947265625
2020-03-25,15845.713975694443,16050.623580528943,15537.995869470022,15687.2568359375,1295,PAGEIND.BO,16730.27734375,19880.2150390625,15947.05859375
2020-03-26,15751.490739941491,17255.796661563414,15426.182505027316,16741.140625,2273,PAGEIND.BO,16574.346819196428,19682.026106770834,15687.2568359375
2020-03-27,17068.09701153896,17179.252436250747,16125.41928034246,16368.48046875,794,PAGEIND.BO,16382.271484375,19483.096354166668,16741.140625
2020-03-30,16317.312213439563,16485.389224337527,15769.362515029305,15885.4697265625,398,PAGEIND.BO,16210.07045200893,19274.78505859375,16368.48046875
2020-03-31,16171.116585270116,16247.51556126352,15780.726881479755,15966.2548828125,594,PAGEIND.BO,16052.536551339286,19103.849544270834,15885.4697265625
2020-04-01,15919.28415376314,15951.872357605616,15581.9492683464,15677.58984375,513,PAGEIND.BO,16039.035853794643,18920.257942708333,15966.2548828125
